Customer_ID,Age,Annual_Income,Purchase_Frequency,Average_Order_Value,Customer_Lifetime_Value,Years_as_Customer,Website_Visits_Per_Month,Product_Categories_Purchased,Return_Rate,Customer_Satisfaction_Score,Cluster
CUST_0001,52,145620,28,195,14280,18,25,8,0.08,4.6,3
CUST_0002,38,72450,15,105,7350,5,18,5,0.12,3.9,0
CUST_0003,45,98760,22,145,11960,12,22,7,0.09,4.2,3
CUST_0004,31,54200,8,85,3400,2,8,3,0.25,2.8,2
CUST_0005,61,168900,35,220,18700,19,28,9,0.06,4.7,1
CUST_0006,28,45600,5,65,2250,1,5,2,0.3,2.3,2
CUST_0007,55,182300,32,210,18960,16,26,9,0.07,4.5,1
CUST_0008,42,88500,18,120,8640,8,20,6,0.11,3.7,0
CUST_0009,35,62100,12,95,5700,4,12,4,0.18,3.2,0
CUST_0010,49,125600,26,175,13650,14,24,8,0.08,4.3,3
CUST_0011,33,58900,10,75,4200,3,10,3,0.22,3.1,2
CUST_0012,57,195400,38,240,21720,20,30,10,0.05,4.8,1
CUST_0013,39,76200,16,110,8160,6,17,5,0.13,3.8,0
CUST_0014,26,42800,4,55,1840,1,4,2,0.35,2.1,2
CUST_0015,51,152100,30,200,15600,17,27,8,0.07,4.4,3
CUST_0016,36,68900,14,100,6800,4,14,4,0.16,3.4,0
CUST_0017,44,95400,20,130,10400,10,21,6,0.1,4.1,3
CUST_0018,41,82300,17,115,8280,7,19,5,0.12,3.6,0
CUST_0019,54,175200,34,215,20910,19,29,9,0.06,4.6,1
CUST_0020,29,48900,6,70,2800,2,6,2,0.28,2.5,2
CUST_0021,47,112400,24,160,12320,13,23,7,0.09,4.0,3
CUST_0022,32,56700,9,80,3600,3,9,3,0.24,2.9,2
CUST_0023,58,188900,36,225,20700,19,28,9,0.06,4.7,1
CUST_0024,37,71200,15,105,7350,5,15,5,0.14,3.5,0
CUST_0025,48,128700,27,185,13995,15,25,8,0.08,4.3,3
CUST_0026,30,52400,7,75,3150,2,7,2,0.26,2.6,2
CUST_0027,56,192100,37,230,21410,20,29,10,0.05,4.8,1
CUST_0028,40,79500,16,110,7920,6,16,5,0.13,3.7,0
CUST_0029,25,41200,3,50,1500,1,3,1,0.38,2.0,2
CUST_0030,50,138900,28,190,14280,16,26,8,0.07,4.4,3
CUST_0031,34,61800,11,85,4675,3,11,4,0.2,3.2,0
CUST_0032,52,165400,31,210,19530,18,27,9,0.06,4.5,1
CUST_0033,38,74100,14,100,6800,5,14,4,0.15,3.6,0
CUST_0034,46,105200,23,150,11550,12,22,7,0.09,4.1,3
CUST_0035,27,46300,5,65,2275,2,5,2,0.32,2.4,2
CUST_0036,59,198700,39,250,22750,21,31,10,0.04,4.9,1
CUST_0037,43,91800,19,125,8875,8,19,6,0.11,3.8,0
CUST_0038,31,55100,8,75,3000,2,8,3,0.23,2.8,2
CUST_0039,53,158600,29,195,14105,17,25,8,0.07,4.4,3
CUST_0040,36,67400,13,95,6175,4,13,4,0.17,3.4,0
CUST_0041,49,131200,26,180,13260,15,24,8,0.08,4.2,3
CUST_0042,28,49800,6,70,2940,2,6,2,0.27,2.5,2
CUST_0043,60,205600,40,260,23400,22,32,10,0.03,4.9,1
CUST_0044,39,77800,15,110,7650,5,15,5,0.12,3.7,0
CUST_0045,45,102100,22,145,11310,12,21,7,0.09,4.2,3
CUST_0046,32,59600,10,80,4000,3,10,3,0.21,3.0,2
CUST_0047,55,178900,33,210,19230,18,27,9,0.06,4.5,1
CUST_0048,37,70300,14,100,7000,4,14,4,0.15,3.5,0
CUST_0049,51,148500,27,190,13680,16,25,8,0.08,4.3,3
CUST_0050,26,43700,4,60,1800,1,4,2,0.36,2.2,2
